Basin,River name,Basin_ID
Amazon,AMZ,1001
Orinoco,ORI,1002
Maroni,MAR,1003
Paraná,PAR,1004
Uruguay,URU,1005
Rio Colorado,RCO,1006
Rio Negro,RNE,1007
Rio Chubut,CHU,1008
Rio Deseado,DES,1009
Rio Chico,CHI,1010
Rio Santa Cruz,SNC,1011
Rio Coyle,COY,1012
Galegos ,GAL,1013
Magdalena,MGL,1014
Mameyes River (Puerto Rico),MMY,1014
Chester,CHS,2001
Conneticut,CNC,2002
Norwalk,NWK,2003
Hudson,HUD,2004
Raritan,RRT,2005
Great Egg Harbor ,GEH,2006
Delaware,DEL,2007
Schuylkill ,SYK,2008
Leipsic,LPS,2009
Murderkill,MDK,2010
Mispillion,MPL,2011
Indian,IND,2012
Rehoboth,RHB,2013
Wicomico,WCM,2014
Nanticoke,NTC,2015
Choptank,CPT,2016
Susquehanna,SQH,2017
Potomac,PTM,2018
Tar,TAR,2019
Roanoke ,RNK,2020
Neuse,NUS,2021
Cape Fear,CPF,2022
South Edison,SED,2023
Ediston,EDI,2024
Altamaha,ALT,2025
Saint Marys,STM,2026
Saint Johns,STJ,2027
Hillsborough,HLB,2028
Suwannee,SWN,2029
Ochlockonee ,OCH,2030
Apalachicola,APC,2031
Mobile,MOB,2032
Mississipi,MSS,2033
Huron,HUR,2034
Fox,FOX,2035
Twin rivers,TWN,2036
Sheboygan,SHB,2037
Milwaukee,MWK,2038
Chicago,CHG,2039
Trinity,TNY,2040
Carson ,CSN,2041
Truckee,TRK,2042
Santa Ana,STA,2043
San Joaquin,SJQ,2044
James,JMS,2045
Sabine,SAB,2046
Colorado,COL,2047
Brazos,BRA,2048
Rio Grande,RGR,2049
Colorado Tex,CLR,2050
Sacramento River,SCM,2051
Skokomish River,SKM,2052
Big Beef Creek,BBC,2053
Dogfish Creek ,DGF,2054
Gorst Creek,GOR,2055
Ollala Creek,OLA,2056
Minter Creek,MIN,2057
Coulter Creek,COU,2058
Chanmbers Creek,CHM,2059
Puyallup River,PLP,2060
Duwamish River,DWM,2061
"Coal Creek, WA",COA,2062
Juanita Creek,JUA,2063
Sammamish River,SMM,2064
Thornton Creek,TNT,2065
Pipers Creek,PPR,2066
Snohomish river,SNH,2067
Columbia River,CLB,2068
Waikele Stream,WAI,2069
Palolo Stream,PAL,2070
Waihee Stream,WHE,2071
Santee river,SNT,2072
Savannah River,SVN,2073
Glades Canal,GDC,2075
Skeena River,SKE,2076
