Sample_ID,Original_ID,Datetime_string,Day,Month,Year,Hour,Minute,Obervation type,Rep_ID
AGO-BEN-111111-DIN1,LA57.2,6/2015,,6,2015,,,single,1
AGO-BLM-111111-DIN1,LA37.2,6/2015,,6,2015,,,single,1
AGO-CPL-111111-DIN1,LA46.2,6/2015,,6,2015,,,single,1
AGO-CRJ-111111-DIN1,LA52.2,6/2015,,6,2015,,,single,1
AGO-CTB-111111-DIN1,LA43.2,6/2015,,6,2015,,,single,1
AGO-CUA-111111-DIN1,LA25.2,6/2015,,6,2015,,,single,1
AGO-CUR-111111-DIN1,LA65.2,6/2015,,6,2015,,,single,1
AGO-CUR-111112-DIN1,P5.2,6/2015,,6,2015,,,single,0
AGO-CUR-111113-DIN1,P15.2,6/2015,,6,2015,,,single,0
AGO-DAN-111111-DIN1,LA1.2,6/2015,,6,2015,,,single,1
AGO-GRL-111111-DIN1,LA61.2,6/2015,,6,2015,,,single,1
AGO-KEV-111111-DIN1,LA32.2,6/2015,,6,2015,,,single,1
AGO-LON-111111-DIN1,LA27.2,6/2015,,6,2015,,,single,1
AGO-MEB-111111-DIN1,LA6.2,6/2015,,6,2015,,,single,1
AGO-QUI-111111-DIN1,LA35.2,6/2015,,6,2015,,,single,1
ARG-CHI-111111-GAI1,RCHI,04/01/1998,1,4,1998,,,single,1
ARG-CHU-111111-GAI1,RCHU,04/01/1998,1,4,1998,,,single,1
ARG-COY-111111-GAI1,RCOY,12/01/1997,1,12,1997,,,single,1
ARG-DES-111111-GAI1,RDES,12/01/1997,1,12,1997,,,single,1
ARG-GAL-111111-GAI1,RGAL,04/01/1998,1,4,1998,,,single,1
ARG-PAR-111111-DEP1,PAR-7,10/06/1998,6,10,1998,,,single,0
ARG-PAR-111111-DEP2,PAR-8,11/15/1998,15,11,1998,,,single,0
ARG-PAR-111112-DEP1,PAR 7-1,06/10/1998,10,6,1998,,,single,1
ARG-PAR-111112-DEP2,PAR 6-1,11/15/1998,15,11,1998,,,single,1
ARG-PAR-111113-MEM1,Parana River Particulates,12/01/1975,1,12,1975,,,single,1
ARG-PAR-111114-GGR1,Parana,,,,,,,an,1
ARG-PAR-111114-GGR2,Parana,,,,,,,an,1
ARG-PAR-111114-GGR3,Parana,,,,,,,an,1
ARG-PAR-111114-GGR4,Parana,,,,,,,an,1
ARG-RCO-111111-GAI1,RCOL,04/01/1998,1,4,1998,,,single,1
ARG-RNE-111111-GAI1,RNEG,12/01/1997,1,12,1997,,,single,1
ARG-SNC-111111-GAI1,RSAN,04/01/1998,1,4,1998,,,single,1
ARG-URU-111111-DEP1,URU-6,06/10/1998,10,6,1998,,,single,1
ARG-URU-111111-DEP2,URU-7,11/15/1998,15,11,1998,,,single,1
ARG-URU-111112-GGR1,Uruguay,,,,,,,an,1
AUS-MUD-111111-DGL1,Merbein 25,1/21/1998,21,1,1998,,,single,1
AUS-MUD-111111-DGL2,Merbein 25-1,1/21/1998,21,1,1998,,,single,1
AUS-MUD-111111-DGL3,Merbein 1-0.2,1/21/1998,21,1,1998,,,single,1
AUS-MUD-111111-DGL4,Merbein 0.2-0.006,1/21/1998,21,1,1998,,,single,1
AUS-MUD-111111-DGL5,Merbein 0.006-0.003,1/21/1998,21,1,1998,,,single,1
AUS-MUD-111112-DGL1,Burtundy 25,1/10/1989,10,1,1989,,,single,1
AUS-MUD-111112-DGL2,Burtundy 25-1,1/10/1989,10,1,1989,,,single,1
AUS-MUD-111112-DGL3,Burtundy 1-0.2,1/10/1989,10,1,1989,,,single,1
AUS-MUD-111112-DGL4,Burtundy 0.2-0.006,1/10/1989,10,1,1989,,,single,1
AUS-MUD-111112-DGL5,Burtundy 0.006-0.003,1/10/1989,10,1,1989,,,single,1
AUS-MUD-111113-MMC1,River Sediment,,,,,,,single,0
BEL-SLD-111111-ZVE1,87-02-19,02/19/1987,19,2,1987,,,single,1
BEL-SLD-111111-ZVE2,87-04-02,04/02/1987,2,4,1987,,,single,1
BEL-SLD-111111-ZVE3,87-05-14,05/14/1987,14,5,1987,,,single,1
BEL-SLD-111111-ZVE4,87-07-08,07/08/1987,8,7,1987,,,single,1
BEL-SLD-111111-ZVE5,87-08-26,08/26/1987,26,8,1987,,,single,1
BEL-SLD-111111-ZVE6,87-10-15,10/15/1987,15,10,1987,,,single,1
BEL-SLD-111111-ZVE7,87-12-16,12/16/1987,16,12,1987,,,single,1
BEL-SLD-111111-ZVE8,88-02-18,02/18/1988,18,2,1988,,,single,1
BGD-BMP-111111-SUB1,Brahmaputra  ,1977-1979,,,,,,an,0
BGD-BMP-111112-SBA1,Brahmaputra,8/1980,,8,1980,,,ssea,0
BGD-BMP-111113-GFL1,BGP18,08/05/1996,5,8,1996,,,single,1
BGD-BMP-111113-GFL2,BGP14,08/05/1996,5,8,1996,,,single,1
BGD-BMP-111113-GFL3,BGP82,03/07/1997,7,3,1997,,,single,1
BGD-BMP-111114-GFL1,BGP0,01/11/1996,11,1,1996,,,single,1
BGD-BMP-111115-GZT013,BR 409,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT1,BR 402,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT10,BR 502,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT11,BR 507,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT12,BR 505,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT13,BR 503,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT14,BR 408,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT15,BR 409__10,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT16,BR 409__10-32,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT17,BR 409_32_,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT18,BR 408__10,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT19,BR 408__10-32,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT2,BR 401,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT20,BR 408_32_,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111115-GZT3,BR 409,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT4,BR 408,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT5,BR 406,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT6,BR 405,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT7,BR 407,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT8,BR 459,2004-2007,,,,,,single,1
BGD-BMP-111115-GZT9,BR 500,2004-2007,,,,,,single,1
BGD-BMP-111116-GGR1,Brahmaputra,,,,,,,an,1
BGD-BMP-111116-GZT1,BR 406,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111116-GZT2,BR 405,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111116-GZT3,BR 406__10,07/12/2004,12,7,2004,,,single,1
BGD-BMP-111116-GZT4,BR 406__10-32,07/12/2004,12,7,2004,,,single,1
