Sample_ID,Location_ID,SeaCat,Observationtype,Sampletype,Basin_ID,Original_Unit,Treatment,Method,Rep_ID,filtersize_mum,sievesize_mumm,Discharge_m3_s,TSS_mg_L,Sand_perc,Silt_perc,Clay_perc,AvgGrainSize_mum,SiO2_wt,Al2O3_wt,Fe2O3T_wt,MnO_wt,CaO_wt,MgO_wt,K2O_wt,Na2O_wt,TiO2_wt,P2O5_org_wt,P2O5_inorg_wt,P2O5_tot_wt,LOI_wt,SO3_wt,N_org_wt,C_org_wt,C_inorg_wt,C_tot_wt,Ca_mumol_L,Mg_mumol_L,K_mumol_L,Na_mumol_L,Cl_mumol_L,Si_mumol_L,DIC_mumol_L,DOC_mumol_L,SO4_mumol_L,HCO3_mumol_L,T_water DegC,pH,Alk_mumol_L,Cond_muS_cm,SI(Cal),,,,,,,,,,,,,,,
AGO-BEN-111111-DIN1,AGO-BEN-111111,Summer,single,BS,5024,wtOx,dig,ICP-AES,1,,2,,,,,,,47.1,21.1,7.4,0.1,2.1,1.7,2.4,1.2,0.9,,,0.2,15.6,0.06,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-BLM-111111-DIN1,AGO-BLM-111111,Summer,single,BS,5020,wtOx,dig,ICP-AES,1,,2,,,,,,,45.0,22.8,9.2,0.2,1.0,0.8,2.6,0.3,1.2,,,0.2,16.3,0.05,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CPL-111111-DIN1,AGO-CPL-111111,Summer,single,BS,5022,wtOx,dig,ICP-AES,1,,2,,,,,,,45.0,22.9,8.3,0.1,1.7,1.7,2.5,0.9,1.0,,,0.2,15.7,0.10,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CRJ-111111-DIN1,AGO-CRJ-111111,Summer,single,BS,5023,wtOx,dig,ICP-AES,1,,2,,,,,,,46.0,20.5,7.7,0.1,1.7,2.3,2.7,1.6,1.0,,,0.2,15.9,0.10,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CTB-111111-DIN1,AGO-CTB-111111,Summer,single,BS,5021,wtOx,dig,ICP-AES,1,,2,,,,,,,41.9,25.0,8.8,0.1,1.2,1.1,1.6,0.3,1.0,,,0.2,18.5,0.07,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUA-111111-DIN1,AGO-CUA-111111,Summer,single,BS,5016,wtOx,dig,ICP-AES,1,,2,,,,,,,45.5,20.8,8.8,0.1,1.0,1.2,1.6,0.5,1.0,,,0.2,19.2,0.50,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111111-DIN1,AGO-CUR-111111,Summer,single,BS,5026,wtOx,dig,ICP-AES,1,,2,,,,,,,44.9,22.2,8.5,0.1,2.1,2.2,1.0,0.3,0.6,,,0.1,17.9,0.10,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111112-DIN1,AGO-CUR-111112,Summer,single,BS,5026,wtOx,dig,ICP-AES,0,,2,,,,,,,61.8,15.1,4.1,0.1,0.8,1.0,1.3,0.1,0.9,,,0.1,14.6,0.05,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111113-DIN1,AGO-CUR-111113,Summer,single,BS,5026,wtOx,dig,ICP-AES,0,,2,,,,,,,50.9,20.4,6.1,0.1,2.0,1.4,0.8,0.5,0.9,,,0.1,16.6,0.10,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-DAN-111111-DIN1,AGO-DAN-111111,Summer,single,BS,5014,wtOx,dig,ICP-AES,1,,2,,,,,,,45.0,22.1,10.7,0.1,0.8,1.5,2.6,0.2,1.1,,,0.3,15.2,0.12,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-GRL-111111-DIN1,AGO-GRL-111111,Summer,single,BS,5025,wtOx,dig,ICP-AES,1,,2,,,,,,,45.7,22.4,7.3,0.1,1.5,1.7,2.6,0.7,0.9,,,0.2,16.7,0.10,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
