Sample_ID,Location_ID,Observationtype,Sampletype,Basin_ID,Unit,Method,Rep_ID,filtersize_mum,sievesize_mumm,Discharge_m3_s,TSS_mg_L,Sand_perc,Silt_perc,Clay_perc,AvgGrainSize_mum,Quartz,Albite,Plg,Anorthite,K-feldspar,Feldspar,Ampibole,Pyroxene,BasGlass,totalMafic,Olivine,Mica,Smectite,Illite,Kaolinite,Chlorite,Gibbsite,Vermiculite,BulkClay,Calcite,Dolomite,BulkCarbonate,Casulfate,Fesulfide,FeOxide,FeHydroxide,Lvf,Lvm,Lv,Lp,Lcd,Lcc,Lch,Ls,Lms,Lmb,Lmf,Lm,Lu,L,totHM,Opq,Ap,Ep,Grt,Ttn,Zirc,Tourm,Ru,TiOx,Px,Amp,Ol,Sp,Mon,Ala,Cltd,Staur,And,Ky,Sil,trHM,,,,
AGO-BEN-111111-DIN1,AGO-BEN-111111,single,BS,5024,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,18.21132348,18.93256401,62.85611251,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-BLM-111111-DIN1,AGO-BLM-111111,single,BS,5020,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,0,8.014440433,91.98555957,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CPL-111111-DIN1,AGO-CPL-111111,single,BS,5022,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,8.303571429,34.55357143,57.14285714,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CRJ-111111-DIN1,AGO-CRJ-111111,single,BS,5023,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,22.68803946,40.56720099,36.74475956,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CTB-111111-DIN1,AGO-CTB-111111,single,BS,5021,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,6.324110672,8.300395257,85.37549407,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUA-111111-DIN1,AGO-CUA-111111,single,BS,5016,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,22.88828338,16.62125341,60.49046322,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111111-DIN1,AGO-CUR-111111,single,BS,5026,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,41.54676259,8.436886854,50.01635056,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111112-DIN1,AGO-CUR-111112,single,BS,5026,wt,XRD,0,,2,,,,,,,28.63868184,,,,,,,,,,,,52.88348372,1.530011769,16.94782268,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111113-DIN1,AGO-CUR-111113,single,BS,5026,wt,XRD,0,,2,,,,,,,2.699530516,,,,,,,,,,,,67.92840376,5.897887324,23.4741784,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-DAN-111111-DIN1,AGO-DAN-111111,single,BS,5014,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,0,16.02959309,83.97040691,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-GRL-111111-DIN1,AGO-GRL-111111,single,BS,5025,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,16.8254361,5.010515898,78.164048,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-KEV-111111-DIN1,AGO-KEV-111111,single,BS,5018,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,0,13.90728477,86.09271523,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-LON-111111-DIN1,AGO-LON-111111,single,BS,5017,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,46.89564069,7.661822985,45.44253633,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-MEB-111111-DIN1,AGO-MEB-111111,single,BS,5015,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,0,12.94117647,87.05882353,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-QUI-111111-DIN1,AGO-QUI-111111,single,BS,5019,wt,XRD,1,,2,,,,,,,0,,,,,,,,,,,,0,14.62765957,85.37234043,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS-MUD-111113-MMC1,AUS-MUD-111113,single,SS,6001,pres,XRD,0,,,,,,,,,Y,Y,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD-BMP-111111-SUB1,BGD-BMP-111111,an,SS,4034,int_perc,XRD,0,0.45,,,,,,,,16.7,,,,,11.1,1.9,,,,,,0,22.2,25.9,22.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
