Sample_ID,Location_ID,Basin_ID,Observationtype,Rep_ID,Sampletype,filtersize_mum,sievesize_mumm,Treatment,Method,Discharge m3_s,TSS_mg_L,Rb_ppm,Cs_ppm,Li_ppm,Ba_ppm,Sr_ppm,Th_ppm,U_ppm,Y_ppm,Zr_ppm,Nb_ppm,Hf_ppm,Sc_ppm,Cr_ppm,Co_ppm,V_ppm,Ni_ppm,Pb_ppm,Be_ppm,Au_ppm,Ag_ppm,Pt_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Ge_ppm,As_ppm,Se_ppm,Br_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Te_ppm,I_ppm,B_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hg_ppm,Tl_ppm,Bi_ppm,Mo_ppm,Ta_ppm,W_ppm
AGO-BEN-111111-DIN1,AGO-BEN-111111,5024,single,1,BS,,2,dig,ICP-MS,,,116.1,3.15,,565,196.1,24.6,5.1,36.35,218.45,19.1,6.5,15.5,,17.75,115.5,24.5,,1,,,,,,27.45,,,,,,7,,,,,95.0,196.90,21.33,76.55,12.53,2.400,9.67,1.310,7.05,1.28,3.62,0.510,3.32,0.48,,,,,1.35,8.65
AGO-BLM-111111-DIN1,AGO-BLM-111111,5020,single,1,BS,,2,dig,ICP-MS,,,138,4.7,,896,122.5,35.85,9.45,46.25,563.35,32.1,15.35,17.5,,23.7,135.5,28,,3,,,,,,26.45,,,,,,7,,,,,121.6,255.50,25.38,88.40,13.88,2.740,11.31,1.560,8.76,1.67,4.88,0.690,4.59,0.68,,,,,2.2,8.55
AGO-CPL-111111-DIN1,AGO-CPL-111111,5022,single,1,BS,,2,dig,ICP-MS,,,139.4,4,,553.5,155.05,29.6,6.15,39.05,145,19.35,4.7,20,,18,134,22.65,,1,,,,,,27.5,,,,,,5.5,,,,,98.2,194.35,22.15,80.45,13.02,2.435,9.92,1.370,7.18,1.38,3.86,0.550,3.51,0.53,,,,,1.55,14.1
AGO-CRJ-111111-DIN1,AGO-CRJ-111111,5023,single,1,BS,,2,dig,ICP-MS,,,131.3,2.65,,610.5,204.3,21.55,2.6,27.8,78.6,15.3,2.2,13,,21.15,125.5,20,,2.5,,,,,,25.5,,,,,,6.5,,,,,98.5,197.80,21.60,76.80,11.98,2.280,8.50,1.060,5.61,1.03,2.80,0.390,2.35,0.36,,,,,0.9,6.35
AGO-CTB-111111-DIN1,AGO-CTB-111111,5021,single,1,BS,,2,dig,ICP-MS,,,112,4.9,,594.5,108.1,28.8,6.45,42.7,116.2,17.75,3.9,21,,20.8,133,22.9,,4,,,,,,29.15,,,,,,7,,,,,112.6,231.00,25.29,92.10,14.82,3.005,11.41,1.575,8.37,1.51,4.37,0.585,3.82,0.53,,,,,1.15,4.8
AGO-CUA-111111-DIN1,AGO-CUA-111111,5016,single,1,BS,,2,dig,ICP-MS,,,94.3,4.3,,492.5,100.7,18.3,4.55,31.35,214.55,15.55,6.2,19,,21.1,131,33.5,,1,,,,,,25.25,,,,,,13.5,,,,,72.2,150.95,15.55,56.90,9.64,2.060,7.87,1.125,5.90,1.12,3.10,0.440,2.88,0.43,,,,,1,4.6
AGO-CUR-111111-DIN1,AGO-CUR-111111,5026,single,1,BS,,2,dig,ICP-MS,,,43.6,1.85,,260,116.1,5.75,1.3,15.3,56.5,6.6,1.75,16.5,,23.1,111,64,,2,,,,,,18.95,,,,,,8,,,,,21.8,46.70,5.11,19.70,3.59,1.000,3.40,0.515,2.92,0.63,1.68,0.235,1.49,0.25,,,,,0.45,9.15
AGO-CUR-111112-DIN1,AGO-CUR-111112,5026,single,0,BS,,2,dig,ICP-MS,,,120.55,2.6,,488,93.2,16.45,4,23.55,328.25,15.1,8.45,11,,15.85,85.5,30,,1.5,,,,,,15.5,,,,,,2,,,,,36.9,85.00,8.78,31.70,6.00,1.315,5.17,0.765,4.38,0.90,2.63,0.385,2.55,0.41,,,,,1.2,3
AGO-CUR-111113-DIN1,AGO-CUR-111113,5026,single,0,BS,,2,dig,ICP-MS,,,64.25,1.6,,454.5,163.5,9,2.1,19.3,180.3,11.2,4.9,12,,27.45,86.5,56,,1.5,,,,,,19.25,,,,,,1,,,,,30.7,66.05,7.16,26.90,5.13,1.480,4.35,0.635,3.70,0.74,2.11,0.295,1.92,0.30,,,,,0.75,3
AGO-DAN-111111-DIN1,AGO-DAN-111111,5014,single,1,BS,,2,dig,ICP-MS,,,137.5,5.15,,793,59.3,23.8,5.65,39.6,321.75,24.1,9.3,21,,21.55,158,47,,2,,,,,,28.05,,,,,,3.5,,,,,64.7,141.90,14.06,49.75,9.07,1.835,8.43,1.300,7.78,1.47,4.30,0.620,4.08,0.60,,,,,1.75,11.65
