Citation,Location_ID,Basin_ID,Lat_deg,Lon_deg,Accuracy,Elevation_masl,Country,Region,Content,Observations
Dinis et al. 2020,AGO-BEN-111111,5024,-14.26805556,12.37944444,ex,,Angola,Bentiaba,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-BLM-111111,5020,-11.99583333,13.99583333,ex,,Angola,Balombo,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CPL-111111,5022,-12.91694444,13.10555556,ex,,Angola,Coporolo,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CRJ-111111,5023,-13.98861111,12.51694444,ex,,Angola,Carujamba,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CTB-111111,5021,-12.44083333,13.55083333,ex,,Angola,Catumbela,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CUA-111111,5016,-9.322777778,13.1625,ex,,Angola,Cuanza,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CUR-111111,5026,-15.73138889,11.92333333,ex,,Angola,Curoca,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CUR-111112,5026,-16.529408,14.875067,ex,,Angola,Mucope,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-CUR-111113,5026,-16.275557,14.283956,ex,,Angola,Caculuvar,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-DAN-111111,5014,-8.606388889,13.55916667,ex,,Angola,Dande,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-GRL-111111,5025,-15.075,12.155,ex,,Angola,Giraul,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-KEV-111111,5018,-10.98861111,14.09583333,ex,,Angola,Keve,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-LON-111111,5017,-10.19722222,13.52111111,ex,,Angola,Longa,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-MEB-111111,5015,-7.202777778,12.92027778,ex,,Angola,Mebridege,"ME, TE & Minerals",3
Dinis et al. 2020,AGO-QUI-111111,5019,-11.32166667,13.84027778,ex,,Angola,Quicombo,"ME, TE & Minerals",3
Gaiero et al. 2007 ,ARG-CHI-111111,1010,-49.664893,-68.890126,est,,Argentina,Patagonia,ME & TE,2
Gaiero et al. 2007 ,ARG-CHU-111111,1008,-43.451517,-65.946279,est,,Argentina,Patagonia,ME & TE,2
Gaiero et al. 2007 ,ARG-COY-111111,1012,-51.11403,-69.466763,est,,Argentina,Patagonia,ME & TE,2
Gaiero et al. 2007 ,ARG-DES-111111,1009,-47.854751,-66.446536,est,,Argentina,Patagonia,ME & TE,2
Gaiero et al. 2007,ARG-GAL-111111,1013,-51.68735,-69.676774,est,,Argentina,Patagonia,ME & TE,2
DePetris et al. 2003,ARG-PAR-111111,1004,-31.700946,-60.570144,est,,Argentina,Buenos Aires/Parana,ME & TE,4
DePetris et al. 2003,ARG-PAR-111112,1004,-32.927296,-60.649517,est,,Argentina,Buenos Aires/Parana,ME & TE,4
Martin & Meybeck 1979,ARG-PAR-111113,1004,-31.742345,-60.63667,est,,Argentina,North East Argentina,ME & TE,2
