Al/Si	CEC
0.17	10
0.17	3.3
0.042	0.75
0.079	1.4
0.13	5.8
0.20	2.0
0.24	2.7
0.17	1.6
0.21	3.6
0.27	37
0.22	12
0.36	22
0.32	30
0.10	2.5
0.11	5.3
0.33	33
0.14	7.2
0.28	18
0.28	20
0.22	11
0.27	42
0.20	25
0.22	33
0.21	24
0.22	29
0.23	39
0.32	48
0.31	30
0.21	19
0.21	16
0.25	43
0.28	14
0.27	13
0.17	8.4
0.14	7.1
0.34	17
0.097	4.9
0.15	7.8
0.11	4.6
0.11	5.4
0.44	22
0.29	16
0.24	14
0.43	21
0.34	20
0.22	12
0.25	17
0.19	31
0.19	31
0.071	1.3
0.076	3.4
0.073	2.4
0.056	2.3
0.12	3.3
0.12	41
0.14	40
0.29	39
0.077	3.4
0.094	5.5
0.081	4.3
0.077	3.8
0.090	4.9
0.20	24
0.16	25
0.16	26
0.10	2.6
0.14	5.3
0.089	39
0.14	46
0.15	37
0.098	21
0.13	42
0.11	3.0
0.11	3.2
0.11	3.3
0.10	3.3
0.091	2.2
0.13	8.2
0.11	5.3
0.12	6.9
0.12	10
0.13	6.8
0.17	7.2
0.094	6.8
0.16	26
0.27	47
0.27	34
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
